Date,YSB,Temp,RH,RF
29-05-2019,0,32.95,79.5,0
30-05-2019,0,32.25,81,0
31-05-2019,0,32.4,80.5,0
01-06-2019,0,29.75,76,26
02-06-2019,0,28.15,79.5,0
03-06-2019,0,30.65,78,0
04-06-2019,0,31.05,74,0
05-06-2019,0,31.1,72.5,0
06-06-2019,0,30.4,74.5,0
07-06-2019,0,29.25,81.5,30
08-06-2019,0,29.6,79.5,0
09-06-2019,0,28,77,0
10-06-2019,0,32.5,71.5,0
11-06-2019,0,32.65,69.5,0
12-06-2019,0,33.5,73.5,0
13-06-2019,0,29.6,82.5,17
14-06-2019,0,32,77,2
15-06-2019,0,32.4,66,0
16-06-2019,0,31.1,71,0
17-06-2019,0,30.5,67,22
18-06-2019,0,31.6,65,0
19-06-2019,0,31.8,66.5,4
20-06-2019,0,28.7,63.5,0
21-06-2019,0,26.15,78,52
22-06-2019,0,28,89.5,0
23-06-2019,0,26,88.5,8
24-06-2019,0,31.1,73.5,0
25-06-2019,0,30.85,75,0
26-06-2019,0,30.75,80.5,0
27-06-2019,0,31.25,77.5,0
28-06-2019,0,30.25,74.5,36
29-06-2019,0,30.8,73.5,0
30-06-2019,0,31.15,70,0
01-07-2019,0,25.75,79.5,0.06
02-07-2019,0,25.75,89,0.68
03-07-2019,0,28,83,0
04-07-2019,0,29.1,83,0
05-07-2019,0,29,82.5,0
06-07-2019,0,26.1,89.5,217
07-07-2019,0,27.95,81,0
08-07-2019,0,29.5,77,0.06
09-07-2019,0,30.1,76.5,0
10-07-2019,0,29.25,86,0.42
11-07-2019,0,29.35,84.5,0
12-07-2019,0,29.15,83.5,0.04
13-07-2019,0,30.65,82,0
14-07-2019,0,30.5,80,0
15-07-2019,0,30.8,80,0
16-07-2019,0,31.15,79,0
17-07-2019,0,31.75,77,0
18-07-2019,0,31.4,73,0
19-07-2019,0,29.8,79,0
20-07-2019,0,29.65,76.5,9
21-07-2019,0,30,73.5,0
22-07-2019,0,30.9,86.5,0
23-07-2019,0,29.9,76.5,0
24-07-2019,0,30.85,78,0
25-07-2019,0,27,79,87
26-07-2019,0,26.5,71,120
27-07-2019,0,26.65,79.5,48
28-07-2019,0,26.6,89.5,6
29-07-2019,0,26.85,78.5,0
30-07-2019,0,28.15,87.5,0
31-07-2019,0,29.4,80.5,0
01-08-2019,0,27.5,86.5,8
02-08-2019,0,29.1,88,0
03-08-2019,0,29.5,93.5,0
04-08-2019,0,28.15,85.5,11
05-08-2019,0,28.75,86,0
06-08-2019,0,28.1,91,38
07-08-2019,0,24.1,95.5,212
08-08-2019,0,28.1,78,19
09-08-2019,0,30,78,0
10-08-2019,0,29.25,83.5,0
11-08-2019,0,29.3,84,0
12-08-2019,0,29.3,82.5,9
13-08-2019,0,27.75,83.5,40
14-08-2019,0,29.15,79,0
15-08-2019,0,29.15,85,0
16-08-2019,0,30.15,81.5,0
17-08-2019,0,29.6,82.5,0
18-08-2019,0,29.05,85.5,39
19-08-2019,0,29.1,86,0
20-08-2019,0,30.5,84,13
21-08-2019,0,29.15,85.5,0
22-08-2019,0,30.05,76.5,31
23-08-2019,0,29.25,88,14
24-08-2019,0,28.25,91.5,42
25-08-2019,0,27,89,9
26-08-2019,0,27.3,90.5,28
27-08-2019,0,28.3,84.5,0
28-08-2019,0,27.3,87.5,0
29-08-2019,0,28.6,83.5,6
30-08-2019,0,29.85,81.5,0
31-08-2019,0,29.8,82,3
01-09-2019,0,29.5,83,0
02-09-2019,0,27.9,89.5,12
03-09-2019,0,29.25,82.5,2
04-09-2019,0,30,81.5,6
05-09-2019,7,29.3,92,0
06-09-2019,15,27.75,89,35
07-09-2019,31,28.65,88.5,25
08-09-2019,0,30.75,86,10
09-09-2019,21,28.5,87,4
10-09-2019,0,29.75,85.5,0
11-09-2019,25,26.5,95.5,64
12-09-2019,28,26.8,90,44
13-09-2019,22,28.45,84,0
14-09-2019,0,29,83,0
15-09-2019,0,29.6,86,0
16-09-2019,23,29.65,81.5,0
17-09-2019,27,29.8,84.5,0
18-09-2019,42,29,82.5,0
19-09-2019,51,29.25,82.5,7
20-09-2019,62,29.85,81,0
21-09-2019,30,29.75,78,0
22-09-2019,0,28.35,79.5,0
23-09-2019,30,27.95,88,0
24-09-2019,18,26.85,96,13
25-09-2019,8,26.1,95,62
26-09-2019,9,25.05,93,212
27-09-2019,20,27.6,85.5,0
28-09-2019,22,27.3,96.5,4
29-09-2019,0,26.35,95.5,29
30-09-2019,23,27.15,80.5,0
01-10-2019,31,28.95,79.5,0
02-10-2019,0,29.2,78,0
03-10-2019,32,29,76.5,0
04-10-2019,25,29.4,78.5,0
05-10-2019,40,29.55,75,2.5
06-10-2019,0,29.5,77,0
07-10-2019,0,28.2,80.5,0
08-10-2019,0,27.3,92.5,25
09-10-2019,0,27.3,81,2
10-10-2019,36,28.2,82,8.8
11-10-2019,40,28.25,81,0.5
12-10-2019,0,27.85,80,0
13-10-2019,0,28.1,78,0
14-10-2019,49,27.3,80.5,38
15-10-2019,70,27.2,73,0
16-10-2019,95,27.4,81.5,0
17-10-2019,89,28,78,17
18-10-2019,106,27.8,79,4
19-10-2019,94,28.45,77.5,0
20-10-2019,0,28.35,80,0
